α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
-3.140292,-1.753578,0,-142,-0.442597,0.397134,-0.528861,0.000000,-9.893201,-0.025161,-0.452904,-0.452904,-0.000000,-0.000000,0.010307,0.010307
-3.135349,-1.804538,-2,-5,-0.536776,0.481640,-0.642436,0.000000,-11.021250,-0.030104,-0.541876,-0.541876,-0.000000,-0.000000,0.005100,0.005100
3.131882,-1.844082,-1,-5,-0.225564,0.202395,-0.693128,0.000000,-11.474265,-0.014151,-0.254711,-0.254711,-0.000000,-0.000000,0.029147,0.029147
3.132885,-1.905207,0,-57,-0.290053,0.260260,-0.756011,0.000000,-12.100529,-0.015154,-0.272766,-0.272766,-0.000000,-0.000000,-0.017288,-0.017288
3.141424,-1.970636,-2,-43,-0.447305,0.401359,-0.853929,0.000000,-13.069444,-0.023692,-0.426463,-0.426463,-0.000000,-0.000000,-0.020843,-0.020843
3.141447,-2.033960,0,-7,-0.415221,0.372571,-0.895637,0.000000,-13.458292,-0.023715,-0.426875,-0.426875,-0.000000,-0.000000,0.011653,0.011653
3.139179,-2.112643,-1,-7,-0.340183,0.305240,-0.928490,0.000000,-13.761158,-0.021447,-0.368111,-0.368111,-0.000000,-0.000000,0.029891,0.029891
3.136637,-2.203817,-2,-62,-0.345973,0.310436,-0.982519,0.000000,-14.255240,-0.018906,-0.340302,-0.340302,-0.000000,-0.000000,-0.005672,-0.005672
-3.140958,-2.296150,-1,-9,-0.455183,0.408427,-1.022687,0.000000,-14.628691,-0.024495,-0.440913,-0.440913,-0.000000,-0.000000,-0.014269,-0.014269
3.140067,-2.392537,-3,-21,-0.385441,0.345850,-1.041936,0.000000,-14.774991,-0.022335,-0.402035,-0.402035,-0.000000,-0.000000,0.016594,0.016594
3.134047,-2.491893,-2,-10,-0.293056,0.262954,-1.062598,0.000000,-14.917439,-0.016315,-0.293678,-0.293678,-0.000000,-0.000000,0.000622,0.000622
3.139392,-2.595294,-2,-36,-0.404251,0.362727,-1.108926,0.000000,-15.321688,-0.021660,-0.389882,-0.389882,-0.000000,-0.000000,-0.014369,-0.014369
-3.141251,-2.702230,-4,-46,-0.427814,0.383870,-1.134336,0.000000,-15.501352,-0.024202,-0.435639,-0.435639,-0.000000,-0.000000,0.007825,0.007825
3.138351,-2.808203,-4,-24,-0.382629,0.343326,-1.177969,0.000000,-15.832451,-0.020619,-0.371149,-0.371149,-0.000000,-0.000000,-0.011480,-0.011480
3.140769,-2.915264,-5,-27,-0.427538,0.383623,-1.219164,0.000000,-16.136599,-0.023038,-0.414678,-0.414678,-0.000000,-0.000000,-0.012860,-0.012860
-3.140456,-3.022060,-5,-13,-0.456849,0.409923,-1.257150,0.000000,-16.393265,-0.024997,-0.449947,-0.449947,-0.000000,-0.000000,-0.006902,-0.006902
3.140899,-3.130086,-6,-32,-0.401113,0.359911,-1.300398,0.000000,-16.658918,-0.022836,-0.411047,-0.411047,-0.000000,-0.000000,0.009935,0.009935
3.138628,3.027826,-6,-15,-0.370869,0.332774,-1.347625,0.000000,-16.972054,-0.020897,-0.376140,-0.376140,-0.000000,-0.000000,0.005271,0.005271
-3.140898,2.911770,-7,-32,-0.462461,0.414958,-1.402680,0.000000,-17.353207,-0.024555,-0.441991,-0.441991,-0.000000,-0.000000,-0.020471,-0.020471
-3.140280,2.788351,-8,-37,-0.448700,0.402610,-1.453115,0.000000,-17.677891,-0.025174,-0.453127,-0.453127,-0.000000,-0.000000,0.004427,0.004427
-3.140840,2.666459,-9,-28,-0.430634,0.386400,-1.515741,0.000000,-18.091124,-0.024614,-0.443051,-0.443051,-0.000000,-0.000000,0.012417,0.012417
3.141106,2.548214,-9,-44,-0.431238,0.386942,-1.560786,0.000000,-18.315706,-0.023374,-0.420738,-0.420738,-0.000000,-0.000000,-0.010500,-0.010500
